unit_no,unit_id,order,level,lemma,display,phonetic,meaning,example,past
3,pep_new_g6_s1_u3,10,required_spell,stay up,stay up,/steɪ ʌp/,熬夜,Don't stay up late.,
3,pep_new_g6_s1_u3,11,required_spell,cry,cry,/kraɪ/,哭；哭泣,Don't cry.,
3,pep_new_g6_s1_u3,12,required_spell,another,another,/əˈnʌðə/,另一；不同的,Try another way.,
3,pep_new_g6_s1_u3,13,required_spell,call,call,/kɔːl/,给……打电话,Please call me.,
3,pep_new_g6_s1_u3,14,required_spell,email,email,/ˈiːmeɪl/,电子邮件,Send me an email.,
3,pep_new_g6_s1_u3,15,required_spell,unhappy,unhappy,/ʌnˈhæpi/,不快乐的；难过的,She is unhappy.,
3,pep_new_g6_s1_u3,16,required_spell,glass,glass,/ɡlɑːs/,一杯；玻璃,Drink a glass of water.,
3,pep_new_g6_s1_u3,17,required_spell,may,may,/meɪ/,也许；可能,Maybe you should see a doctor.,
3,pep_new_g6_s1_u3,18,required_recognize,add,add,/æd/,补充说；增加,Add more ideas.,
3,pep_new_g6_s1_u3,19,required_recognize,video,video,/ˈvɪdiəʊ/,视频；录像,I watched a video.,
3,pep_new_g6_s1_u3,20,required_recognize,better,better,/ˈbetə/,好转的,I feel better now.,
4,pep_new_g6_s1_u4,1,required_spell,money,money,/ˈmʌni/,钱,We should manage money well.,
4,pep_new_g6_s1_u4,2,required_spell,pocket money,pocket money,/ˈpɒkɪt ˈmʌni/,零花钱,I have some pocket money.,
4,pep_new_g6_s1_u4,3,required_spell,schoolbag,schoolbag,/ˈskuːlbæɡ/,书包,I'm going to buy a schoolbag.,
4,pep_new_g6_s1_u4,4,required_spell,goods,goods,/ɡʊdz/,商品,The goods are on sale.,
4,pep_new_g6_s1_u4,5,required_spell,drink,drink,/drɪŋk/,饮料,I need to buy a drink.,
4,pep_new_g6_s1_u4,6,required_spell,service,service,/ˈsɜːvɪs/,服务,The service is good.,
4,pep_new_g6_s1_u4,7,required_spell,haircut,haircut,/ˈheəkʌt/,理发；发型,I need a haircut.,
4,pep_new_g6_s1_u4,8,required_spell,microscope,microscope,/ˈmaɪkrəskəʊp/,显微镜,I want to buy a microscope.,
4,pep_new_g6_s1_u4,9,required_spell,lucky,lucky,/ˈlʌki/,幸运的,I'm lucky.,
4,pep_new_g6_s1_u4,10,required_spell,save up,save up,/seɪv ʌp/,攒钱,I need to save up.,
4,pep_new_g6_s1_u4,11,required_spell,sale,sale,/seɪl/,特价销售；出售,The book is on sale.,
4,pep_new_g6_s1_u4,12,required_spell,ticket,ticket,/ˈtɪkɪt/,票,I'm going to buy a ticket.,
4,pep_new_g6_s1_u4,13,required_spell,manage,manage,/ˈmænɪdʒ/,管理,We should manage money well.,
4,pep_new_g6_s1_u4,14,required_spell,difficult,difficult,/ˈdɪfɪkəlt/,困难的,It is difficult.,
4,pep_new_g6_s1_u4,15,required_spell,sell,sell,/sel/,出售；售卖,They sell books.,
4,pep_new_g6_s1_u4,16,required_spell,jar,jar,/dʒɑː/,罐子,Put money in the jar.,
4,pep_new_g6_s1_u4,17,required_spell,half,half,/hɑːf/,一半,Save half of your money.,
4,pep_new_g6_s1_u4,18,required_recognize,for example,for example,/fər ɪɡˈzɑːmpəl/,例如,"For example, buy useful things.",
5,pep_new_g6_s1_u5,1,required_spell,planet,planet,/ˈplænɪt/,行星,Earth is a planet.,
5,pep_new_g6_s1_u5,2,required_spell,Earth,Earth,/ɜːθ/,地球,We live on Earth.,
5,pep_new_g6_s1_u5,3,required_spell,sky,sky,/skaɪ/,天；天空,What can you see in the sky?,
5,pep_new_g6_s1_u5,4,required_spell,daytime,daytime,/ˈdeɪtaɪm/,白天,"In the daytime, we can see the Sun.",
5,pep_new_g6_s1_u5,5,required_spell,cloud,cloud,/klaʊd/,云,We can see clouds.,
5,pep_new_g6_s1_u5,6,required_spell,moon,moon,/muːn/,月球；月亮,We can see the Moon at night.,
5,pep_new_g6_s1_u5,7,required_spell,star,star,/stɑː/,恒星；星,We can see stars.,
5,pep_new_g6_s1_u5,8,required_spell,space,space,/speɪs/,太空；空间,I want to know about space.,
5,pep_new_g6_s1_u5,9,required_spell,outer space,outer space,/ˈaʊtə speɪs/,外层空间；外太空,What can we see from outer space?,
5,pep_new_g6_s1_u5,10,required_spell,space station,space station,/ˈspeɪs ˌsteɪʃən/,空间站,Astronauts live in a space station.,
5,pep_new_g6_s1_u5,11,required_spell,ocean,ocean,/ˈəʊʃən/,大海；海洋,We can see oceans.,
5,pep_new_g6_s1_u5,12,required_spell,marble,marble,/ˈmɑːbəl/,玻璃弹子,Earth looks like a blue marble.,
5,pep_new_g6_s1_u5,13,required_spell,satellite,satellite,/ˈsætəlaɪt/,人造卫星,A satellite goes around Earth.,
5,pep_new_g6_s1_u5,14,required_spell,soil,soil,/sɔɪl/,土壤,There is soil on Mars.,
5,pep_new_g6_s1_u5,15,required_spell,alien,alien,/ˈeɪliən/,外星生物,Are there any aliens?,
5,pep_new_g6_s1_u5,16,required_spell,sunrise,sunrise,/ˈsʌnraɪz/,日出,I watched the sunrise.,
5,pep_new_g6_s1_u5,17,required_spell,rover,rover,/ˈrəʊvə/,探测器,China put a rover on Mars.,
5,pep_new_g6_s1_u5,18,required_spell,into,into,/ˈɪntə/,朝；进入,It went into space.,
5,pep_new_g6_s1_u5,19,required_spell,telescope,telescope,/ˈtelɪskəʊp/,望远镜,We can use a telescope.,
5,pep_new_g6_s1_u5,20,required_spell,astronaut,astronaut,/ˈæstrənɔːt/,宇航员；航天员,Astronauts work in space.,
5,pep_new_g6_s1_u5,21,required_spell,spaceship,spaceship,/ˈspeɪsʃɪp/,宇宙飞船,A spaceship flies into space.,
5,pep_new_g6_s1_u5,22,required_spell,month,month,/mʌnθ/,月；月份,A month has about 30 days.,
5,pep_new_g6_s1_u5,23,required_recognize,taikonaut,taikonaut,/ˈtaɪkənɔːt/,中国航天员,Taikonauts get up early.,
5,pep_new_g6_s1_u5,24,required_recognize,cloth,cloth,/klɒθ/,一块布；织物,We need a cloth.,
5,pep_new_g6_s1_u5,25,required_recognize,toothpaste,toothpaste,/ˈtuːθpeɪst/,牙膏,Astronauts use toothpaste.,
5,pep_new_g6_s1_u5,26,required_recognize,question,question,/ˈkwestʃən/,问题,I have a question.,
5,pep_new_g6_s1_u5,27,required_recognize,sunset,sunset,/ˈsʌnset/,日落,We watched the sunset.,
5,pep_new_g6_s1_u5,28,required_recognize,time,time,/taɪm/,次；回,three times,
6,pep_new_g6_s1_u6,1,required_spell,power,power,/ˈpaʊə/,能；能量,Water power is useful.,
6,pep_new_g6_s1_u6,2,required_spell,electricity,electricity,/ɪˌlekˈtrɪsəti/,电,Running water can make electricity.,
6,pep_new_g6_s1_u6,3,required_spell,solar,solar,/ˈsəʊlə/,太阳的,Solar power is green energy.,
6,pep_new_g6_s1_u6,4,required_spell,type,type,/taɪp/,类型；种类,It is a type of energy.,
6,pep_new_g6_s1_u6,5,required_spell,energy,energy,/ˈenədʒi/,能源,We should save energy.,
6,pep_new_g6_s1_u6,6,required_spell,source,source,/sɔːs/,来源,Water is a source of energy.,
6,pep_new_g6_s1_u6,7,required_spell,light,light,/laɪt/,照亮,The light is on.,
6,pep_new_g6_s1_u6,8,required_spell,heat,heat,/hiːt/,加热；使变暖；热量,The Sun gives heat.,
6,pep_new_g6_s1_u6,9,required_spell,cool,cool,/kuːl/,使变凉；冷却,It can cool the room.,
6,pep_new_g6_s1_u6,10,required_spell,run,run,/rʌn/,使运行,Electricity can run machines.,
6,pep_new_g6_s1_u6,11,required_spell,resource,resource,/rɪˈsɔːs/,资源,Many resources are running out.,
6,pep_new_g6_s1_u6,12,required_spell,run out,run out,/rʌn aʊt/,用完,Many resources are running out.,
6,pep_new_g6_s1_u6,13,required_spell,few,few,/fjuː/,不多；很少,There are few trees.,
6,pep_new_g6_s1_u6,14,required_spell,change,change,/tʃeɪndʒ/,改变；使不同,We can change our habits.,
6,pep_new_g6_s1_u6,15,required_spell,quick,quick,/kwɪk/,迅速的；快的,Take quick showers.,
6,pep_new_g6_s1_u6,16,required_spell,shower,shower,/ˈʃaʊə/,淋浴,We can take quick showers.,
6,pep_new_g6_s1_u6,17,required_spell,unplug,unplug,/ˌʌnˈplʌɡ/,拔掉电源插头,Unplug computers and TVs.,
6,pep_new_g6_s1_u6,18,required_spell,difference,difference,/ˈdɪfrəns/,差别；不同之处,There is a big difference.,
6,pep_new_g6_s1_u6,19,required_spell,reduce,reduce,/rɪˈdjuːs/,减少,We can reduce waste.,
6,pep_new_g6_s1_u6,20,required_spell,air conditioner,air conditioner,/ˈeə kənˌdɪʃənə/,空调机,Use air conditioners less.,
6,pep_new_g6_s1_u6,21,required_spell,drive,drive,/draɪv/,驾驶；开车,Don't drive too much.,
6,pep_new_g6_s1_u6,22,required_spell,reuse,reuse,/ˌriːˈjuːz/,再次使用；重复使用,We can reuse bottles.,
6,pep_new_g6_s1_u6,23,required_spell,own,own,/əʊn/,自己的,Bring your own bottle.,
6,pep_new_g6_s1_u6,24,required_spell,market,market,/ˈmɑːkɪt/,集市；市场,I went to the market.,
6,pep_new_g6_s1_u6,25,required_spell,bottle,bottle,/ˈbɒtəl/,瓶子,Use your own bottle.,
6,pep_new_g6_s1_u6,26,required_spell,top,top,/tɒp/,最高的,It is the top side.,
6,pep_new_g6_s1_u6,27,required_spell,useful,useful,/ˈjuːsfəl/,有用的；有益的,It is useful.,
6,pep_new_g6_s1_u6,28,required_spell,dirty,dirty,/ˈdɜːti/,脏的,The river is dirty.,
6,pep_new_g6_s1_u6,29,required_spell,side,side,/saɪd/,一面；一边,Write on both sides.,
